recordKey,id,sourceId,sourceMajor,name,location,sourceLocationCode,appStatus,reviewStatus,beaconStatus,category,description,longDescription,latitude,longitude,imagePath,imageAlt,isOpen,trailDistanceDescription,previousBeaconStatus,macAddress,beaconPlacement,purchaseCount,sourceNewBeaconCount,sourceImageName,sourceCoordinates,sourceRow,carriedForwardFields,reviewNotes,reviewGroups,coordinateReview,coordinateDifferenceMetres,coordinateNote
LP-12,,2002.0,17.0,Climbing Ladder,lions-pride-park,LP,Retired,Needs Review,DELETE,PointOfInterest,Rope Climbing Ladder takes you on a zigzag pattern from the top to the bottom of Kids Mountain,,40.24699,-75.17794,,Rope climbing ladder,,,Can't locate,,,DELETE,,Rope_ladder,"40.246990, -75.177940",Lions Pride!A12:R12,,New or distinct source record; complete required fields and confirm ID/location before activating. Source ID 2002 is used by Recycling; resolve collision. Source requests deletion; retirement proposed. Check trail references.,"5, 6",No source comparison,,
LP-13,2003.0,2003.0,17.0,Small Slides,lions-pride-park,LP,Active,Needs Review,Can't locate,PointOfInterest,Small Slides take you down Kids mountain through two areas filled with sand. Get to the slides from Kids Mountain Trail or by using the stairs between the slides.,The three small green slides will bring you down from the top of the mountain through two areas filled with sand. The sand areas are just one of the different surfaces that are present throughout the park. Access to the slide is either from the walking path that winds up the mountain or by two sets of stairs between them. These are smaller less steep slides than the large main slides.,40.24669,-75.17764,lions-pride-park/images/small_slides.jpg,Small slides,,,Can't locate,,,1.0,,small_slides,"40.24669, -75.17764",Lions Pride!A13:R13,imagePath,Proposed name: Small Slides and Rope Ladder → Small Slides Coordinate change; confirm placement and affected trail stops. Existing image retained under group 1 policy.,"1, 3, 5",Changed beyond rounding,4.4,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-14,,2004.0,17.0,Large Slides,lions-pride-park,LP,Draft,Needs Review,missing,PointOfInterest,Large Slides are the big blue slides. Get to the spiral slide from the tower on Kids Mountain. The straight slide is right next to the tower entrance.,"The two main blue slides begin from the peak of Kids Mountain; both are accessible by individuals of all abilities. The first slide is a spiral slide that can be accessed from the tower's highest level and ends with a transfer station (for handicapped persons) at the bottom. The second slide is a straight slide that is steep and fast. Again, this has transfer areas at both the top and bottom.",40.24688,-75.17771,,Large slides,,,missing,,onside of the main railng that goes to top of to big slide,1.0,,Large_slides,"40.246880, -75.177710",Lions Pride!A14:R14,,New or distinct source record; complete required fields and confirm ID/location before activating. Source ID 2004 is used by Green Trail Mid-Point; resolve collision.,"4, 5, 6",No source comparison,,
LP-15,2005.0,2005.0,17.0,Bees,lions-pride-park,LP,Active,Needs Review,working,PointOfInterest,Here's some information about bees which are very important to the environment and some things we can do to help them thrive.,"Bees are insects known as pollinators. Western honeybees are well known for producing honey, and pollination of flowers, fruits, and vegetables. Most crops require insect pollination in order to produce seeds. Bees live in colonies, also known as hives. This is where they reproduce and make honey to store for the winter. Honeybees fly extremely fast, and beat their wings around 200 times per second. Unfortunately, bees are declining at an alarming rate due to viruses, climate change, decreasing crop diversity, and loss of habitat. Reducing the use of pesticides and diminishing the effects of climate change will help these important pollinators to repopulate. You can help increase the bee population by planting native shrubs and flowers that in your yard. Recently, beekeeping has become an interesting and popular hobby. ",40.24848,-75.17751,lions-pride-park/images/bees.jpg,Honey bee gathering pollen from a yellow flower,,,Replaced batteries,,near wetland on pole,,,bee,"40.24848, -75.17751",Lions Pride!A15:R15,imagePath,Coordinate change; confirm placement and affected trail stops. Existing image retained under group 1 policy.,"1, 3",Changed beyond rounding,98.0,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-16,2006.0,2006.0,17.0,Butterflies,lions-pride-park,LP,Active,Needs Review,Can't locate,PointOfInterest,Here's some information about butterflies.,"Butterflies and moths are pollinators of plant and food sources for other animals. They make up the second largest order of insects. Butterflies have thousands of tiny overlapping scales covering their wings. Each scale is a single color and collectively these scales create the complex color patterns seen on their wings. Monarch butterflies are facing extinction. Populations in the last ten years have declined by over 90%. Butterflies in general are in trouble, but with just a few nectar and hosts plants you can attract and sustain dozens of butterfly species. Limiting the use of insecticides and herbicides will also help to increase their population. ",40.24847,-75.17741,lions-pride-park/images/butterfly.jpg,Monarch butterfly standing on a stick,,,Can't locate,,,1.0,,butterfly,"40.24847, -75.17741",Lions Pride!A16:R16,imagePath,Coordinate change; confirm placement and affected trail stops. Existing image retained under group 1 policy.,"1, 3",Changed beyond rounding,61.8,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-17,2007.0,2007.0,17.0,Natural Slope,lions-pride-park,LP,Retired,Needs Review,missing,PointOfInterest,The side of Kids Mountain is a natural play area and is great for sledding. Get to it from the Kids Mountain Trail.,"This side (back of the mountain) is natural and allows individuals to run up, roll down and in the winter is an excellent sledding hill. The area is accessed from Kids Mountain Trail.",40.24675,-75.17748,lions-pride-park/images/slope.jpg,Play slope,,,missing,,,DELETE,,slope,"40.24675, -75.17748",Lions Pride!A17:R17,"longDescription, imagePath",Coordinate change; confirm placement and affected trail stops. Source requests deletion; retirement proposed. Check trail references. Existing image retained under group 1 policy.,"1, 5",Changed beyond rounding,2.4,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-18,2008.0,2008.0,17.0,Games,lions-pride-park,LP,Retired,Needs Review,missing,PointOfInterest,Checkers and chess sets are available for you to use at the game tables. Please make sure to return them when done,,40.24661,-75.17817,,Table games,,,missing,,,DELETE,,Table_games,"40.24661, -75.178170",Lions Pride!A18:R18,,New or distinct source record; complete required fields and confirm ID/location before activating. Source requests deletion; retirement proposed. Check trail references.,5,No source comparison,,
LP-19,3002.0,3002.0,17.0,Kids Mountain Trail,lions-pride-park,LP,Active,Needs Review,working,Trail,ADA compliant trail takes you to the top of Kids Mountain and the fun activities you will find there.,"This gently sloping ADA compliant trail leads to the top of Kids Mountain, It is ideal for those with physical limitations and is wheelchair friendly. There is a rest area along the trail that is a perfect place to sit and enjoy the scenic view of the park. This side of the mountain is natural and allows individuals to run up, roll down and in the winter is an excellent sledding hill. The area is accessed from Kids Mountain Trail.",40.24625,-75.17765,lions-pride-park/images/Mountain_trail.jpg,Kids Mountain trail,true,This is a 400 foot trail leading to the top of Kids Mountain. The slope is ADA compliant and friendly for those with mobility issues.,missing,,on sign at beginning of the mountain trail,,,Mountain_trail,"40.24625, -75.177650",Lions Pride!A19:R19,"imagePath, isOpen, trailDistanceDescription",Coordinate change; confirm placement and affected trail stops. Existing image retained under group 1 policy.,"1, 3, 5",Changed beyond rounding,8.5,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-20,,add,17.0,The Woods,lions-pride-park,LP,Draft,Needs Review,Can't locate,PointOfInterest,Walk along the woods and see what plants and wildlife you can see.,"The woods along the side of the loop trail are comprised of uplands, wetlands and floodplains. The trail passes through the woods and around the created wetland habitat for a whole new educational nature experience.",40.2471,-75.1786,,The Woods,,,Can't locate,,,,,woods,"40.2471, -75.1786",Lions Pride!A20:R20,,New or distinct source record; complete required fields and confirm ID/location before activating.,"4, 5",No source comparison,,
LP-21,3004.0,add,17.0,Music Grove,lions-pride-park,LP,Active,Needs Review,missing,PointOfInterest,Tuned musical instruments are for your use and enjoyment. Have fun!,Located behind the small mountain and next to the swings is the Music Grove. Visitors will  find an array of oversized and tuned musical instruments to play ,40.24706,-75.17775,lions-pride-park/images/music_grove.jpg,The Music grove,,,missing needs to be replaced,,,1.0,1.0,music_grove,"40.247060, -75.177750",Lions Pride!A21:R21,imagePath,Source has no numeric ID; matched by name/context to app 3004. Coordinate change; confirm placement and affected trail stops. Existing image retained under group 1 policy.,"1, 3, 6",Changed beyond rounding,3.2,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-22,3005.0,add,17.0,Rain Garden,lions-pride-park,LP,Active,Needs Review,"broken, needs to be replaced",PointOfInterest,The rain garden collects water which runs off from different parts of the park. Our rain garden hosts many native plants and small wildlife.,"This rain garden collects stormwater from the park. Also known as a bioretention basin, runoff that originates from rain, snow, hail, and sleet are diverted via underground pipes into this rain garden and soak into the soil. Rain gardens, such as this, are effective in removing up to 90% of nutrients and chemicals and up to 80% of sediments before they enter a water body. This garden will look dry most of the time, but will accumulate water during storm events and will drain within 12 to 48 hours, thereby cleaning the water before it enters the Little Neshaminy Watershed. Native plants and wildflowers are typically planted in rain gardens.",40.24845,-75.177456,lions-pride-park/images/rain_garden.jpg,The Rain Garden,,,"broken, needs to be replaced",,,1.0,1.0,rain_garden,"40.24845, -75.177456",Lions Pride!A22:R22,imagePath,Source has no numeric ID; matched by name/context to app 3005. Coordinate change; confirm placement and affected trail stops. Existing image retained under group 1 policy.,"1, 3, 6",Changed beyond rounding,103.3,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-23,3006.0,add,17.0,Recycled Plastic Furniture,lions-pride-park,LP,Active,Needs Review,working,PointOfInterest,"All of the adirondack chairs, benches and picnic tables in the park are made from 100% recycled plastic. ","All of the adirondack chairs, benches and picnic tables in the park are made from 100% recycled plastic. By using recycled plastic furnishings, we are playing an important role on closing the loop on recycling. Through the incorporation of recycled plastic into outdoor products, we are conserving virgin resources, reducing the need to log, drill and mine for raw materials. Using recycled content in products creates the demand needed to make recycling economically viable and turn used materials into new products.",40.24646,-75.1781,lions-pride-park/images/recycled_furn.jpg,Recycled Furniture,,,Replaced batteries,,on metal sign post,,,recycled_furn,"40.24646, -75.178100",Lions Pride!A23:R23,imagePath,Source has no numeric ID; matched by name/context to app 3006. Coordinate change; confirm placement and affected trail stops. Existing image retained under group 1 policy.,"1, 3, 6",Changed beyond rounding,27.0,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-24,3007.0,add,17.0,Pollinator Plants,lions-pride-park,LP,Active,Needs Review,Can't locate,PointOfInterest,Pollinator plants TBA,"Native pollinator plants are essential to ensure the production of nectar and pollen that support a diversity of butterflies, bees, bats, hummingbirds and other insects. These plants are also essential for plant reproduction and provide food and shelter for wildlife. ",40.24651,-75.17758,lions-pride-park/images/pollinators.jpg,Some Pollinator Plants,,,Can't locate,,,1.0,,,"40.24651, -75.17758",Lions Pride!A24:R24,"description, imageAlt, imagePath",Source has no numeric ID; matched by name/context to app 3007. Coordinate change; confirm placement and affected trail stops.,"1, 3, 6",Changed beyond rounding,19.2,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-25,3008.0,6000.0,6001.0,Insects,lions-pride-park,LP,Active,Needs Review,needs to be reprogrammed to insects,PointOfInterest,Insects TBA,"Insects are the largest species on earth. There are up to 10 million different types of insects in all shapes, colors and sizes. However all insects have a few common characteristics; no backbone, 3 separate parts to their body, 2 antennae on their head and 6 legs. Some of the benefits of insects include pollination, spreading seeds and providing a high protein food for humans. ",40.24839,-75.1771015,lions-pride-park/images/insects.jpg,Some Insects,,,needs to be reprogrammed,EFC136C1ABA5,,,,,"40.24839, -75.1771015",Lions Pride!A25:R25,"description, imageAlt, imagePath","ID conflict: source 6000, existing app 3008; confirm hardware before changing ID. Coordinate change; confirm placement and affected trail stops. Source 6000/6001 appears to be temporary programming; confirm final major/minor.","1, 3, 6",Changed beyond rounding,45.8,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-26,2002.0,,,Trash/Recycle,lions-pride-park,LP,Active,Needs Review,working,PointOfInterest,"The recycling bins at Lions Pride Park allow visitors to separate and recycle their food containers, paper products, empty plastic and glass bottles and aluminum cans from their trash. Please do not place plastic bags in the recycling cans as these can damage recycling equipment. Plastic bags can be recycled in supermarkets. Recycling is critical to the health of our planet and it reduces landfill space. Only paper you read and write on is recyclable. All containers must be completely empty before recycling to avoid contamination.","The recycling bins at Lions Pride Park allow visitors to separate and recycle their food containers, paper products, empty plastic and glass bottles and aluminum cans from their trash. Please do not place plastic bags in the recycling cans as these can damage recycling equipment. Plastic bags can be recycled in supermarkets. Recycling is critical to the health of our planet and it reduces landfill space. Only paper you read and write on is recyclable. All containers must be completely empty before recycling to avoid contamination.",40.24601,-75.1774,lions-pride-park/images/Recycling.jpg,Recycling at Lions Pride Park,,,Replaced Batteries,,,,,,", ",Lions Pride!A26:R26,"description, longDescription, imageAlt, latitude, longitude, imagePath",Source has no numeric ID; matched by name/context to app 2002. Proposed name: Recycling → Trash/Recycle,"1, 6",Incomplete source coordinates,,Retained values are not a complete new measurement.
LP-27,3003.0,,,Green Trail Turn Off,lions-pride-park,LP,Active,Needs Review,working,PointOfInterest,Walk along the edge of the woods and see what plants and wildlife you can see.,"If you bear left at this junction, you'll connect to the Green Trail. Otherwise, continue on the Yellow Trail toward the park entrance.",40.247383,-75.178521,lions-pride-park/images/Green_Trail_Connection.jpg,Green Trail Connection,,,Replaced Batteries,,,,,,", ",Lions Pride!A27:R27,"description, longDescription, imageAlt, latitude, longitude, imagePath",Source has no numeric ID; matched by name/context to app 3003. Proposed name: Green Trail Turn-off → Green Trail Turn Off,"1, 6",Incomplete source coordinates,,Retained values are not a complete new measurement.
LP-28,2004.0,,,Green Trail Mid Point,lions-pride-park,LP,Active,Needs Review,working,PointOfInterest,"Turn left to go to the beginning of the Green Trail, turn right to go to the Rain Garden nature area",This is the mid-point entry to the Green Trail. Turn Left to walk along the woods  to the beginning of the trail near the pond. Turn Right to head to the rain garden nature area.,40.2478,-75.178281,lions-pride-park/images/Green_Trail_mid.jpg,Mid-point entry to the Green Trail,,,Replaced Batteries,,,,,,", ",Lions Pride!A28:R28,"description, longDescription, imageAlt, latitude, longitude, imagePath",Source has no numeric ID; matched by name/context to app 2004. Proposed name: Green Trail Mid-Point → Green Trail Mid Point,"1, 6",Incomplete source coordinates,,Retained values are not a complete new measurement.
EAC-2,1.0,1.0,20.0,Bluebird and cavity nesting bird program,us-202,WP,Active,Needs Review,working,PointOfInterest,The Warrington Environmental Advisory Council is implementing a bluebird and cavity nesting bird program along this trail and throughout the Township.  Bird boxes have been installed at specific locations along this trail and throughout the Township to increase cavity bird populations.,"The Warrington Environmental Advisory Council is implementing a bluebird and cavity nesting bird program along this trail and throughout the Township.  Bird boxes have been installed at specific locations along this trail and throughout the Township to increase cavity bird populations. Bluebirds and other cavity nesting birds such as tree swallows, screech owls, and kestral falcons provide many benefits to our community by eating insects and small rodents. ",40.268116,-75.189541,us-202/images/202Nesting.jpg,,,,,,under sign,,,Nesting,"40.268116, -75.189541",EAC and Historic!A2:R2,imagePath,Coordinate change; confirm placement and affected trail stops. Confirm mapping of source location code WP; existing app grouping retained where available. Existing image retained under group 1 policy.,"1, 2, 3",Changed beyond rounding,2.7,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
EAC-3,2.0,2.0,20.0,Pollinator Habitat,us-202,WP,Active,Needs Review,"working, beacon needs to be reprogramed",PointOfInterest,"Pollinator Habitats are gardens that provides food, water and a safe living space for our native
pollinators.","Pollinator Habitats are gardens that provides food, water and a safe living space for our native pollinators. This habitat has been created with different plants for a variety of pollinator species to feed on plant nectar, throughout the growing season.",40.265828,-75.187085,us-202/images/202Pollinator2021.jpg,,,,,DE:E2:AC:2193:OB,under sign,,,Pollinator 2021,"40.265828, -75.187085",EAC and Historic!A3:R3,imagePath,Coordinate change; confirm placement and affected trail stops. Confirm mapping of source location code WP; existing app grouping retained where available. Existing image retained under group 1 policy.,"1, 2, 3",Changed beyond rounding,6.5,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
EAC-4,3.0,3.0,20.0,Pet Waste ,us-202,WP,Active,Needs Review,working,PointOfInterest,"Pet waste contains harmful bacteria,
viruses and parasites that can wash into streams, like the Neshaminy Creek.","Pet waste contains harmful bacteria, viruses and parasites that can wash into streams, like the Neshaminy Creek. These diseases can pose a health hazard to both people and pets. Picking up after your pet controls the spread of diseases to humans and wildlife and protects Warrington’s waterways. Thank you for bagging your pet’s waste, and putting it in the trash.",40.265418,-75.186894,us-202/images/202PetWaste.jpg,,,,,,under sign,,,Pet Waste,"40.265418, -75.186894",EAC and Historic!A4:R4,imagePath,Proposed name: Pet Waste → Pet Waste  Coordinate change; confirm placement and affected trail stops. Confirm mapping of source location code WP; existing app grouping retained where available. Existing image retained under group 1 policy.,"1, 2, 3",Changed beyond rounding,13.7,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
EAC-5,4.0,4.0,20.0,Naturalized Basin,us-202,UN,Active,Needs Review,working,PointOfInterest,Naturalized detention basin is a constructed dry pond that is designed to collect storm water runoff and uses native plant species to adsorb and filter pollutants and storm water. ,"Naturalized detention basin is a constructed dry pond that is designed to collect storm water runoff and uses native plant species to adsorb and filter pollutants and storm water. The benefits of natualizing storm water basins include reduced mowing, greater recharge to groundwater, reduced pollutants entering our streams and rivers and increase in wildlife habitat. ",40.248622,-75.173927,us-202/images/202Basin.jpg,,,,,,under sign,,,Basin,"40.248622, -75.173927",EAC and Historic!A5:R5,imagePath,Coordinate change; confirm placement and affected trail stops. Confirm mapping of source location code UN; existing app grouping retained where available. Existing image retained under group 1 policy.,"1, 2, 3",Changed beyond rounding,2.0,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
EAC-6,5.0,5.0,20.0,Native Plant Management Area,us-202,UN,Active,Needs Review,working,PointOfInterest,This corridor is being actively managed by the Warrington Environmental Advisory Council to promote native plants.,"This corridor is being actively managed by the Warrington Environmental Advisory Council to promote native plants. Invasive plants are being controlled to prevent them from crowding out the native vegetation. Step off of the trail and explore. Many of the native plants have been identified, many have edible fruits and nuts. Please Enjoy. ",40.248232,-75.174192,us-202/images/202NativePlantMgt.jpg,,,,,,under sign,,,Native Plant Mgt,"40.248232, -75.174192",EAC and Historic!A6:R6,imagePath,Coordinate change; confirm placement and affected trail stops. Confirm mapping of source location code UN; existing app grouping retained where available. Existing image retained under group 1 policy.,"1, 2, 3",Changed beyond rounding,1.0,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
EAC-7,6.0,6.0,20.0,Rain Barrels,lions-pride-park,LP,Active,Needs Review,"Missing, needs new beacon",PointOfInterest,"Rain Barrels are barrels used to hold rain water that is collected from a roof. Rain barrels allows us to reuse rain water, allowing us to conserve water and save money.  ","Rain Barrels are barrels used to hold rain water that is collected from a roof. Rain barrels allows us to reuse rain water, allowing us to conserve water and save money.  ",40.246047222,-75.178247222,us-202/images/202RainBarrel.jpg,,,,,,under sign,1.0,,"40°14'45.77""N 75°10'41.69""W","40°14'45.77""N 75°10'41.69""W, ",EAC and Historic!A7:R7,imagePath,Coordinate change; confirm placement and affected trail stops. Confirm mapping of source location code LP; existing app grouping retained where available. Existing image retained under group 1 policy.,"1, 2, 3",Changed beyond rounding,267.0,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
