recordKey,name,groups,appStatus,coordinateReview,differenceMetres,issue,coordinateNote
LP-19,Kids Mountain Trail,"1, 3, 5",Active,Changed beyond rounding,8.5,Coordinate change; confirm placement and affected trail stops. Existing image retained under group 1 policy.,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-20,The Woods,"4, 5",Draft,No source comparison,,New or distinct source record; complete required fields and confirm ID/location before activating.,
LP-21,Music Grove,"1, 3, 6",Active,Changed beyond rounding,3.2,Source has no numeric ID; matched by name/context to app 3004. Coordinate change; confirm placement and affected trail stops. Existing image retained under group 1 policy.,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-22,Rain Garden,"1, 3, 6",Active,Changed beyond rounding,103.3,Source has no numeric ID; matched by name/context to app 3005. Coordinate change; confirm placement and affected trail stops. Existing image retained under group 1 policy.,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-23,Recycled Plastic Furniture,"1, 3, 6",Active,Changed beyond rounding,27.0,Source has no numeric ID; matched by name/context to app 3006. Coordinate change; confirm placement and affected trail stops. Existing image retained under group 1 policy.,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-24,Pollinator Plants,"1, 3, 6",Active,Changed beyond rounding,19.2,Source has no numeric ID; matched by name/context to app 3007. Coordinate change; confirm placement and affected trail stops.,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-25,Insects,"1, 3, 6",Active,Changed beyond rounding,45.8,"ID conflict: source 6000, existing app 3008; confirm hardware before changing ID. Coordinate change; confirm placement and affected trail stops. Source 6000/6001 appears to be temporary programming; confirm final major/minor.",Not explained by rounding to the source precision; confirm the measurement source or physical placement.
LP-26,Trash/Recycle,"1, 6",Active,Incomplete source coordinates,,Source has no numeric ID; matched by name/context to app 2002. Proposed name: Recycling → Trash/Recycle,Retained values are not a complete new measurement.
LP-27,Green Trail Turn Off,"1, 6",Active,Incomplete source coordinates,,Source has no numeric ID; matched by name/context to app 3003. Proposed name: Green Trail Turn-off → Green Trail Turn Off,Retained values are not a complete new measurement.
LP-28,Green Trail Mid Point,"1, 6",Active,Incomplete source coordinates,,Source has no numeric ID; matched by name/context to app 2004. Proposed name: Green Trail Mid-Point → Green Trail Mid Point,Retained values are not a complete new measurement.
EAC-2,Bluebird and cavity nesting bird program,"1, 2, 3",Active,Changed beyond rounding,2.7,Coordinate change; confirm placement and affected trail stops. Confirm mapping of source location code WP; existing app grouping retained where available. Existing image retained under group 1 policy.,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
EAC-3,Pollinator Habitat,"1, 2, 3",Active,Changed beyond rounding,6.5,Coordinate change; confirm placement and affected trail stops. Confirm mapping of source location code WP; existing app grouping retained where available. Existing image retained under group 1 policy.,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
EAC-4,Pet Waste ,"1, 2, 3",Active,Changed beyond rounding,13.7,Proposed name: Pet Waste → Pet Waste  Coordinate change; confirm placement and affected trail stops. Confirm mapping of source location code WP; existing app grouping retained where available. Existing image retained under group 1 policy.,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
EAC-5,Naturalized Basin,"1, 2, 3",Active,Changed beyond rounding,2.0,Coordinate change; confirm placement and affected trail stops. Confirm mapping of source location code UN; existing app grouping retained where available. Existing image retained under group 1 policy.,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
EAC-6,Native Plant Management Area,"1, 2, 3",Active,Changed beyond rounding,1.0,Coordinate change; confirm placement and affected trail stops. Confirm mapping of source location code UN; existing app grouping retained where available. Existing image retained under group 1 policy.,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
EAC-7,Rain Barrels,"1, 2, 3",Active,Changed beyond rounding,267.0,Coordinate change; confirm placement and affected trail stops. Confirm mapping of source location code LP; existing app grouping retained where available. Existing image retained under group 1 policy.,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
EAC-8,Bluebird and cavity nesting bird program,"1, 2, 3",Active,Consistent with rounding,25.2,Coordinates are consistent with rounding; no relocation implied. Confirm mapping of source location code LN; existing app grouping retained where available. Existing image retained under group 1 policy.,Both source values equal the old coordinates rounded to the source precision. No relocation implied; retain precise app coordinates if rounding is confirmed.
EAC-9,Native Plant vs Invasive Plants,"1, 2, 3",Active,Changed beyond rounding,46.7,Coordinate change; confirm placement and affected trail stops. Confirm mapping of source location code LN; existing app grouping retained where available. Existing image retained under group 1 policy.,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
EAC-10,Native Plant Management Area,"1, 2, 3",Active,Consistent with rounding,4.0,Coordinates are consistent with rounding; no relocation implied. Confirm mapping of source location code LN; existing app grouping retained where available. Existing image retained under group 1 policy.,Both source values equal the old coordinates rounded to the source precision. No relocation implied; retain precise app coordinates if rounding is confirmed.
EAC-11,Pet Waste ,"1, 2, 3",Active,Changed beyond rounding,2.5,Proposed name: Pet Waste → Pet Waste  Coordinate change; confirm placement and affected trail stops. Confirm mapping of source location code LN; existing app grouping retained where available. Existing image retained under group 1 policy.,Not explained by rounding to the source precision; confirm the measurement source or physical placement.
EAC-12,Trees,"1, 2, 3",Active,Consistent with rounding,12.3,Coordinates are consistent with rounding; no relocation implied. Confirm mapping of source location code LN; existing app grouping retained where available. Existing image retained under group 1 policy.,Both source values equal the old coordinates rounded to the source precision. No relocation implied; retain precise app coordinates if rounding is confirmed.
EAC-13,Wetlands,"1, 2, 3",Active,Consistent with rounding,32.3,Coordinates are consistent with rounding; no relocation implied. Confirm mapping of source location code LN; existing app grouping retained where available. Existing image retained under group 1 policy.,Both source values equal the old coordinates rounded to the source precision. No relocation implied; retain precise app coordinates if rounding is confirmed.
EAC-14,Fish,"1, 2, 3",Active,Consistent with rounding,45.1,Coordinates are consistent with rounding; no relocation implied. Confirm mapping of source location code LN; existing app grouping retained where available. Existing image retained under group 1 policy.,Both source values equal the old coordinates rounded to the source precision. No relocation implied; retain precise app coordinates if rounding is confirmed.
EAC-15,Meadows,"1, 2, 3",Active,Consistent with rounding,40.9,Coordinates are consistent with rounding; no relocation implied. Confirm mapping of source location code LN; existing app grouping retained where available. Existing image retained under group 1 policy.,Both source values equal the old coordinates rounded to the source precision. No relocation implied; retain precise app coordinates if rounding is confirmed.
EAC-16,Waterfowl,"1, 2, 3",Active,Consistent with rounding,7.3,Coordinates are consistent with rounding; no relocation implied. Confirm mapping of source location code LN; existing app grouping retained where available. Existing image retained under group 1 policy.,Both source values equal the old coordinates rounded to the source precision. No relocation implied; retain precise app coordinates if rounding is confirmed.
EAC-17,Purple Martin,"2, 4, 6",Draft,No source comparison,,New or distinct source record; complete required fields and confirm ID/location before activating. Source ID 16 is used by End of trail; resolve collision. Confirm mapping of source location code UN; existing app grouping retained where available.,
EAC-18,Chimney Swift,"2, 4",Draft,No source comparison,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code LN; existing app grouping retained where available.,
EAC-19,Bluebird and cavity nesting bird program,"2, 4",Draft,No source comparison,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code EP; existing app grouping retained where available.,
EAC-20,Meadows,"2, 4",Draft,No source comparison,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code EP; existing app grouping retained where available.,
EAC-21,Pet Waste ,"2, 4",Draft,No source comparison,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code EP; existing app grouping retained where available.,
EAC-22,Meadows,"2, 4",Draft,No source comparison,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code MCP; existing app grouping retained where available.,
EAC-23,Reptiles,"2, 4",Draft,No source comparison,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code LN; existing app grouping retained where available.,
EAC-24,Bird Blind,"2, 4",Draft,No source comparison,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code MCP; existing app grouping retained where available.,
EAC-25,Bird Houses on Display,"2, 4",Draft,No source comparison,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code LP; existing app grouping retained where available.,
EAC-26,Bird Blind,"2, 4",Draft,No source comparison,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code LN; existing app grouping retained where available.,
EAC-27,Monarch Way Station,"2, 4",Draft,No source comparison,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code LN; existing app grouping retained where available.,
EAC-28,Migrating Birds,"2, 4",Draft,No source comparison,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code UN; existing app grouping retained where available.,
EAC-29,Pollinator Garden,"2, 4",Draft,No source comparison,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code LN; existing app grouping retained where available.,
EAC-30,Wetlands,"2, 4",Draft,No source comparison,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code UP; existing app grouping retained where available.,
EAC-31,Kiosk ,"2, 4",Draft,No source comparison,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code UP; existing app grouping retained where available.,
EAC-32,Corral Garden ,"2, 4",Draft,No source comparison,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code UN; existing app grouping retained where available.,
EAC-33,Solitary Bees,"2, 4",Draft,No source comparison,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code LN; existing app grouping retained where available.,
EAC-34,History of Weisel,"2, 4",Draft,No source comparison,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code WP; existing app grouping retained where available.,
EAC-35,Nike Missile,"2, 4",Draft,No source comparison,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code LN; existing app grouping retained where available.,
EAC-36,School House,"2, 4",Draft,No source comparison,,New or distinct source record; complete required fields and confirm ID/location before activating. Confirm mapping of source location code Folly Rd.; existing app grouping retained where available.,
JSON-4001,202 Connector Trail,"1, 5",Active,No source comparison,,Absent from new source. Retained pending decision; may be a required trail endpoint.,
JSON-16,End of trail,"1, 5",Active,No source comparison,,Absent from new source. Retained pending decision; may be a required trail endpoint.,
